model,setting,class,precision,recall,f1,support
glm-5.3,S1,A,0.8031496062992126,0.8360655737704918,0.8192771084337349,122
glm-5.3,S1,B,0.7863247863247863,0.8214285714285714,0.8034934497816594,112
glm-5.3,S1,C,0.9019607843137255,0.8625,0.8817891373801917,160
glm-5.3,S1,D,1.0,0.5,0.6666666666666666,6
glm-5.3,S2,A,0.768595041322314,0.7622950819672131,0.7654320987654321,122
glm-5.3,S2,B,0.6865671641791045,0.8214285714285714,0.7479674796747967,112
glm-5.3,S2,C,0.8723404255319149,0.76875,0.8172757475083057,160
glm-5.3,S2,D,0.75,0.5,0.6,6
glm-5.3,S3,A,0.7567567567567568,0.6885245901639344,0.721030042918455,122
glm-5.3,S3,B,0.7089552238805971,0.8482142857142857,0.7723577235772358,112
glm-5.3,S3,C,0.8367346938775511,0.76875,0.8013029315960912,160
glm-5.3,S3,D,0.5,0.6666666666666666,0.5714285714285714,6
gpt-5.6,S1,A,0.9051724137931034,0.860655737704918,0.8823529411764706,122
gpt-5.6,S1,B,0.8773584905660378,0.8303571428571429,0.8532110091743119,112
gpt-5.6,S1,C,0.8670520231213873,0.9375,0.9009009009009009,160
gpt-5.6,S1,D,0.8,0.6666666666666666,0.7272727272727273,6
gpt-5.6,S2,A,0.8333333333333334,0.860655737704918,0.8467741935483871,122
gpt-5.6,S2,B,0.900990099009901,0.8125,0.8544600938967136,112
gpt-5.6,S2,C,0.8757396449704142,0.925,0.8996960486322189,160
gpt-5.6,S2,D,1.0,0.6666666666666666,0.8,6
gpt-5.6,S3,A,0.8207547169811321,0.7131147540983607,0.7631578947368421,122
gpt-5.6,S3,B,0.8787878787878788,0.7767857142857143,0.8246445497630331,112
gpt-5.6,S3,C,0.774869109947644,0.925,0.8433048433048433,160
gpt-5.6,S3,D,0.75,0.5,0.6,6
qwen3.8-max,S1,A,0.8294573643410853,0.8770491803278688,0.852589641434263,122
qwen3.8-max,S1,B,0.8877551020408163,0.7767857142857143,0.8285714285714286,112
qwen3.8-max,S1,C,0.8698224852071006,0.91875,0.8936170212765957,160
qwen3.8-max,S1,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S2,A,0.782608695652174,0.8852459016393442,0.8307692307692308,122
qwen3.8-max,S2,B,0.898989898989899,0.7946428571428571,0.8436018957345972,112
qwen3.8-max,S2,C,0.8805031446540881,0.875,0.877742946708464,160
qwen3.8-max,S2,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S3,A,0.7045454545454546,0.7622950819672131,0.7322834645669292,122
qwen3.8-max,S3,B,0.8686868686868687,0.7678571428571429,0.8151658767772512,112
qwen3.8-max,S3,C,0.793939393939394,0.81875,0.8061538461538461,160
qwen3.8-max,S3,D,1.0,0.6666666666666666,0.8,6
