model,setting,n,correct,accuracy,macro_f1,weighted_f1
glm-5.3,S1,400,330,0.825,0.7197306791569087,0.8238571428571427
glm-5.3,S2,400,311,0.7775,0.7326688314871336,0.7787979834357222
glm-5.3,S3,400,306,0.765,0.7165298173800883,0.7652669269016198
glm-5.3,S4,400,297,0.7425,0.7240514658872722,0.7423682715314613
glm-5.3,S5,400,297,0.7425,0.6302628287481087,0.740845774052753
glm-5.3,S6,400,310,0.775,0.6408876680241118,0.7701012113744216
gpt-5.6,S1,400,363,0.9075,0.9047920596535235,0.9069741736523436
gpt-5.6,S2,400,348,0.87,0.8502325840193299,0.8693933747762255
gpt-5.6,S3,400,325,0.8125,0.7577768219511797,0.8099855691503235
gpt-5.6,S4,400,329,0.8225,0.8277032653843841,0.8230558062938721
gpt-5.6,S5,400,343,0.8575,0.8116360916425528,0.8577287853776775
gpt-5.6,S6,400,358,0.895,0.899051365962114,0.894355659523026
qwen3.8-max,S1,400,351,0.8775,0.8566536144578314,0.8770857831325303
qwen3.8-max,S2,400,341,0.8525,0.8380285183030731,0.8526903248736882
qwen3.8-max,S3,400,314,0.785,0.7884007968745066,0.7860544406520822
qwen3.8-max,S4,400,318,0.795,0.798240726088699,0.7971640672006549
qwen3.8-max,S5,400,308,0.77,0.741844063689858,0.769913464866736
qwen3.8-max,S6,400,326,0.815,0.8063625967668528,0.8124517581835723
