model,setting,class,precision,recall,f1,support
glm-5.3,S1,A,0.8360655737704918,0.8360655737704918,0.8360655737704918,122
glm-5.3,S1,B,0.7857142857142857,0.7857142857142857,0.7857142857142857,112
glm-5.3,S1,C,0.8518518518518519,0.8625,0.8571428571428571,160
glm-5.3,S1,D,0.5,0.3333333333333333,0.4,6
glm-5.3,S2,A,0.768595041322314,0.7622950819672131,0.7654320987654321,122
glm-5.3,S2,B,0.6865671641791045,0.8214285714285714,0.7479674796747967,112
glm-5.3,S2,C,0.8723404255319149,0.76875,0.8172757475083057,160
glm-5.3,S2,D,0.75,0.5,0.6,6
glm-5.3,S3,A,0.7567567567567568,0.6885245901639344,0.721030042918455,122
glm-5.3,S3,B,0.7089552238805971,0.8482142857142857,0.7723577235772358,112
glm-5.3,S3,C,0.8367346938775511,0.76875,0.8013029315960912,160
glm-5.3,S3,D,0.5,0.6666666666666666,0.5714285714285714,6
glm-5.3,S4,A,0.7045454545454546,0.7622950819672131,0.7322834645669292,122
glm-5.3,S4,B,0.6762589928057554,0.8392857142857143,0.749003984063745,112
glm-5.3,S4,C,0.8492063492063492,0.66875,0.7482517482517482,160
glm-5.3,S4,D,1.0,0.5,0.6666666666666666,6
glm-5.3,S5,A,0.6690140845070423,0.7786885245901639,0.7196969696969697,122
glm-5.3,S5,B,0.7368421052631579,0.75,0.7433628318584071,112
glm-5.3,S5,C,0.8181818181818182,0.73125,0.7722772277227723,160
glm-5.3,S5,D,1.0,0.16666666666666666,0.2857142857142857,6
glm-5.3,S6,A,0.7884615384615384,0.6721311475409836,0.7256637168141593,122
glm-5.3,S6,B,0.7350427350427351,0.7678571428571429,0.7510917030567685,112
glm-5.3,S6,C,0.7966101694915254,0.88125,0.8367952522255193,160
glm-5.3,S6,D,0.5,0.16666666666666666,0.25,6
gpt-5.6,S1,A,0.905982905982906,0.8688524590163934,0.8870292887029289,122
gpt-5.6,S1,B,0.8990825688073395,0.875,0.8868778280542986,112
gpt-5.6,S1,C,0.9112426035502958,0.9625,0.9361702127659575,160
gpt-5.6,S1,D,1.0,0.8333333333333334,0.9090909090909091,6
gpt-5.6,S2,A,0.8333333333333334,0.860655737704918,0.8467741935483871,122
gpt-5.6,S2,B,0.900990099009901,0.8125,0.8544600938967136,112
gpt-5.6,S2,C,0.8757396449704142,0.925,0.8996960486322189,160
gpt-5.6,S2,D,1.0,0.6666666666666666,0.8,6
gpt-5.6,S3,A,0.8207547169811321,0.7131147540983607,0.7631578947368421,122
gpt-5.6,S3,B,0.8787878787878788,0.7767857142857143,0.8246445497630331,112
gpt-5.6,S3,C,0.774869109947644,0.925,0.8433048433048433,160
gpt-5.6,S3,D,0.75,0.5,0.6,6
gpt-5.6,S4,A,0.7482014388489209,0.8524590163934426,0.7969348659003831,122
gpt-5.6,S4,B,0.8888888888888888,0.8571428571428571,0.8727272727272727,112
gpt-5.6,S4,C,0.8435374149659864,0.775,0.8078175895765473,160
gpt-5.6,S4,D,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
gpt-5.6,S5,A,0.8188976377952756,0.8524590163934426,0.8353413654618473,122
gpt-5.6,S5,B,0.8818181818181818,0.8660714285714286,0.8738738738738738,112
gpt-5.6,S5,C,0.8789808917197452,0.8625,0.8706624605678234,160
gpt-5.6,S5,D,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
gpt-5.6,S6,A,0.9035087719298246,0.8442622950819673,0.8728813559322034,122
gpt-5.6,S6,B,0.8981481481481481,0.8660714285714286,0.8818181818181818,112
gpt-5.6,S6,C,0.8888888888888888,0.95,0.918429003021148,160
gpt-5.6,S6,D,0.8571428571428571,1.0,0.9230769230769231,6
qwen3.8-max,S1,A,0.828125,0.8688524590163934,0.848,122
qwen3.8-max,S1,B,0.9479166666666666,0.8125,0.875,112
qwen3.8-max,S1,C,0.872093023255814,0.9375,0.9036144578313253,160
qwen3.8-max,S1,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S2,A,0.782608695652174,0.8852459016393442,0.8307692307692308,122
qwen3.8-max,S2,B,0.898989898989899,0.7946428571428571,0.8436018957345972,112
qwen3.8-max,S2,C,0.8805031446540881,0.875,0.877742946708464,160
qwen3.8-max,S2,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S3,A,0.7045454545454546,0.7622950819672131,0.7322834645669292,122
qwen3.8-max,S3,B,0.8686868686868687,0.7678571428571429,0.8151658767772512,112
qwen3.8-max,S3,C,0.793939393939394,0.81875,0.8061538461538461,160
qwen3.8-max,S3,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S4,A,0.6842105263157895,0.8524590163934426,0.7591240875912408,122
qwen3.8-max,S4,B,0.8969072164948454,0.7767857142857143,0.8325358851674641,112
qwen3.8-max,S4,C,0.8367346938775511,0.76875,0.8013029315960912,160
qwen3.8-max,S4,D,1.0,0.6666666666666666,0.8,6
qwen3.8-max,S5,A,0.6756756756756757,0.819672131147541,0.7407407407407407,122
qwen3.8-max,S5,B,0.8522727272727273,0.6696428571428571,0.75,112
qwen3.8-max,S5,C,0.8074534161490683,0.8125,0.8099688473520249,160
qwen3.8-max,S5,D,1.0,0.5,0.6666666666666666,6
qwen3.8-max,S6,A,0.8198198198198198,0.7459016393442623,0.7811158798283262,122
qwen3.8-max,S6,B,0.898876404494382,0.7142857142857143,0.7960199004975125,112
qwen3.8-max,S6,C,0.7704081632653061,0.94375,0.848314606741573,160
qwen3.8-max,S6,D,1.0,0.6666666666666666,0.8,6
