model,comparison,setting_a,setting_b,n,accuracy_a,accuracy_b,delta_accuracy,prediction_flip_n,prediction_flip_rate,harmful_flip_n,harmful_flip_rate,helpful_flip_n,helpful_flip_rate,wrong_to_wrong_flip_n,wrong_to_wrong_flip_rate,net_correctness_gain_n,mcnemar_p_raw,mcnemar_p_holm,significant_raw_005,significant_holm_005,mcnemar_p,significant_005
glm-5.3,S1_vs_S2,S1,S2,400,0.825,0.7775,-0.04749999999999999,76,0.19,44,0.11,25,0.0625,7,0.0175,-19,0.029493493531317295,0.17696096118790378,True,False,0.029493493531317295,True
glm-5.3,S1_vs_S3,S1,S3,400,0.825,0.765,-0.05999999999999994,95,0.2375,56,0.14,32,0.08,7,0.0175,-24,0.013750385738502912,0.09625270016952038,True,False,0.013750385738502912,True
glm-5.3,S2_vs_S3,S2,S3,400,0.7775,0.765,-0.012499999999999956,95,0.2375,42,0.105,37,0.0925,16,0.04,-5,0.6529643755164601,1.0,False,False,0.6529643755164601,False
glm-5.3,S1_vs_S4,S1,S4,400,0.825,0.7425,-0.0824999999999999,91,0.2275,60,0.15,27,0.0675,4,0.01,-33,0.0005243546737950249,0.004719192064155223,True,True,0.0005243546737950249,True
glm-5.3,S1_vs_S5,S1,S5,400,0.825,0.7425,-0.0824999999999999,97,0.2425,60,0.15,27,0.0675,10,0.025,-33,0.0005243546737950249,0.004719192064155223,True,True,0.0005243546737950249,True
glm-5.3,S1_vs_S6,S1,S6,400,0.825,0.775,-0.04999999999999993,84,0.21,49,0.1225,29,0.0725,6,0.015,-20,0.030786495821399938,0.17696096118790378,True,False,0.030786495821399938,True
glm-5.3,S4_vs_S5,S4,S5,400,0.7425,0.7425,0.0,109,0.2725,49,0.1225,49,0.1225,11,0.0275,0,1.0,1.0,False,False,1.0,False
glm-5.3,S4_vs_S6,S4,S6,400,0.7425,0.775,0.03249999999999997,105,0.2625,43,0.1075,56,0.14,6,0.015,13,0.22762615711004686,0.9105046284401874,False,False,0.22762615711004686,False
glm-5.3,S5_vs_S6,S5,S6,400,0.7425,0.775,0.03249999999999997,106,0.265,43,0.1075,56,0.14,7,0.0175,13,0.22762615711004686,0.9105046284401874,False,False,0.22762615711004686,False
gpt-5.6,S1_vs_S2,S1,S2,400,0.9075,0.87,-0.03749999999999998,29,0.0725,22,0.055,7,0.0175,0,0.0,-15,0.008130058646202087,0.04065029323101044,True,True,0.008130058646202087,True
gpt-5.6,S1_vs_S3,S1,S3,400,0.9075,0.8125,-0.09499999999999997,64,0.16,50,0.125,12,0.03,2,0.005,-38,1.2143807700186297e-06,1.0929426930167668e-05,True,True,1.2143807700186297e-06,True
gpt-5.6,S2_vs_S3,S2,S3,400,0.87,0.8125,-0.057499999999999996,58,0.145,40,0.1,17,0.0425,1,0.0025,-23,0.0032015437674503813,0.019209262604702286,True,True,0.0032015437674503813,True
gpt-5.6,S1_vs_S4,S1,S4,400,0.9075,0.8225,-0.08499999999999996,60,0.15,47,0.1175,13,0.0325,0,0.0,-34,1.2146708022957309e-05,9.717366418365847e-05,True,True,1.2146708022957309e-05,True
