model,comparison,setting_a,setting_b,n,delta_accuracy,acc_ci_low,acc_ci_high,acc_ci_excludes_zero,delta_macro_f1,macro_f1_ci_low,macro_f1_ci_high,macro_ci_excludes_zero
glm-5.3,S1_vs_S2,S1,S2,400,-0.04749999999999999,-0.08750000000000002,-0.007500000000000062,True,0.012938152330224884,-0.06723419393526583,0.11562105662834478,False
glm-5.3,S1_vs_S3,S1,S3,400,-0.05999999999999994,-0.10499999999999998,-0.012500000000000067,True,-0.0032008617768204406,-0.10847951951277508,0.10833842707644536,False
glm-5.3,S2_vs_S3,S2,S3,400,-0.012499999999999956,-0.05500000000000005,0.030000000000000027,False,-0.016139014107045324,-0.10650346734476963,0.08709322052421146,False
glm-5.3,S1_vs_S4,S1,S4,400,-0.0824999999999999,-0.12749999999999995,-0.03749999999999998,True,0.004320786730363513,-0.07740022699750655,0.10896780759037354,False
glm-5.3,S1_vs_S5,S1,S5,400,-0.0824999999999999,-0.12749999999999995,-0.03749999999999998,True,-0.08946785040880001,-0.25178888682835454,0.10070674026253877,False
glm-5.3,S1_vs_S6,S1,S6,400,-0.04999999999999993,-0.09250000000000003,-0.007499999999999951,True,-0.0788430111327969,-0.22975778352070195,0.09636181423168308,False
glm-5.3,S4_vs_S5,S4,S5,400,0.0,-0.04749999999999999,0.050000000000000044,False,-0.09378863713916352,-0.22620405868657242,0.02021083179633357,False
glm-5.3,S4_vs_S6,S4,S6,400,0.03249999999999997,-0.015000000000000013,0.08250000000000002,False,-0.08316379786316042,-0.23290756823712727,0.1285609294124012,False
glm-5.3,S5_vs_S6,S5,S6,400,0.03249999999999997,-0.015000000000000013,0.08000000000000007,False,0.010624839276003106,-0.15651231414439423,0.1771640019740891,False
gpt-5.6,S1_vs_S2,S1,S2,400,-0.03749999999999998,-0.06499999999999995,-0.012499999999999956,True,-0.05455947563419361,-0.15098744664401698,-0.011490890898768275,True
gpt-5.6,S1_vs_S3,S1,S3,400,-0.09499999999999997,-0.13250000000000006,-0.057499999999999996,True,-0.14701523770234382,-0.2711175829067763,-0.06431218681490096,True
gpt-5.6,S2_vs_S3,S2,S3,400,-0.057499999999999996,-0.09499999999999997,-0.022437500000000877,True,-0.0924557620681502,-0.19666868810039873,-0.025893998099462495,True
gpt-5.6,S1_vs_S4,S1,S4,400,-0.08499999999999996,-0.12250000000000005,-0.0475000000000001,True,-0.0770887942691394,-0.1391256999980904,-0.03638415608118313,True
gpt-5.6,S1_vs_S5,S1,S5,400,-0.04999999999999993,-0.08750000000000002,-0.015000000000000013,True,-0.0931559680109707,-0.1928836190571797,-0.02557292502213539,True
gpt-5.6,S1_vs_S6,S1,S6,400,-0.012499999999999956,-0.04249999999999998,0.01749999999999996,False,-0.005740693691409504,-0.08513682921827048,0.07663123965582642,False
gpt-5.6,S4_vs_S5,S4,S5,400,0.03500000000000003,-0.0050000000000000044,0.07250000000000001,False,-0.01606717374183131,-0.10346039225888226,0.04192371721187165,False
gpt-5.6,S4_vs_S6,S4,S6,400,0.07250000000000001,0.03499999999999992,0.10999999999999999,True,0.07134810057772989,0.026975476581090858,0.1456816969472368,True
gpt-5.6,S5_vs_S6,S5,S6,400,0.03749999999999998,0.0050000000000000044,0.07250000000000001,True,0.0874152743195612,0.01815059878069101,0.19246171930957887,True
qwen3.8-max,S1_vs_S2,S1,S2,400,-0.02499999999999991,-0.05499999999999994,0.0025000000000000577,False,-0.01862509615475827,-0.041483985779807976,0.003138410736989966,False
qwen3.8-max,S1_vs_S3,S1,S3,400,-0.09249999999999992,-0.12749999999999995,-0.057499999999999996,True,-0.0682528175833248,-0.09495308659119417,-0.04232438288351313,True
qwen3.8-max,S2_vs_S3,S2,S3,400,-0.0675,-0.1050000000000001,-0.029999999999999916,True,-0.04962772142856653,-0.0790141830159827,-0.020321833332764157,True
qwen3.8-max,S1_vs_S4,S1,S4,400,-0.0824999999999999,-0.11750000000000005,-0.04749999999999999,True,-0.05841288836913239,-0.08491743032728115,-0.03271766984590847,True
qwen3.8-max,S1_vs_S5,S1,S5,400,-0.10749999999999993,-0.14749999999999996,-0.0675,True,-0.11480955076797339,-0.2245238296629308,-0.05802363013749061,True
qwen3.8-max,S1_vs_S6,S1,S6,400,-0.0625,-0.09750000000000003,-0.02749999999999997,True,-0.050291017690978546,-0.07931730076182306,-0.022638088041935515,True
qwen3.8-max,S4_vs_S5,S4,S5,400,-0.025000000000000022,-0.07250000000000001,0.020000000000000018,False,-0.056396662398841,-0.16755521820063657,0.004314378340893724,False
qwen3.8-max,S4_vs_S6,S4,S6,400,0.019999999999999907,-0.02499999999999991,0.0625,False,0.008121870678153842,-0.0254572752432626,0.04159569864847482,False
qwen3.8-max,S5_vs_S6,S5,S6,400,0.04499999999999993,0.0,0.08999999999999997,False,0.06451853307699484,0.00431234360140887,0.1753600740585106,True
