model,setting,n,latency_mean,latency_median,latency_p95,latency_sum,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p95,prompt_tokens_sum,completion_tokens_mean,completion_tokens_median,completion_tokens_p95,completion_tokens_sum,reasoning_tokens_mean,reasoning_tokens_median,reasoning_tokens_p95,reasoning_tokens_sum,total_tokens_mean,total_tokens_median,total_tokens_p95,total_tokens_sum,reasoning_zero_n,reasoning_zero_rate
glm-5.3,S1,400,3.4855925,2.8885,7.524349999999992,1394.237,585.9575,593.5,681.1499999999999,234383,23.5425,6.0,83.0,9417,20.395,3.0,80.0,8158,609.5,614.0,723.0,243800,200,0.5
glm-5.3,S2,400,2.7727875,2.425,4.8561499999999995,1109.115,567.9575,575.5,663.1499999999999,227183,19.775,3.0,72.04999999999995,7910,16.65,0.0,68.04999999999995,6660,587.7325,594.0,689.1999999999998,235093,228,0.57
glm-5.3,S3,400,2.8634975,2.548,4.9426499999999995,1145.399,585.9575,593.5,681.1499999999999,234383,23.745,11.5,82.04999999999995,9498,20.5275,7.5,77.14999999999986,8211,609.7025,615.5,729.0,243881,198,0.495
glm-5.3,S4,400,5.28827,3.94,13.621599999999997,2115.308,585.9575,593.5,681.1499999999999,234383,29.4175,20.0,96.14999999999986,11767,26.1975,16.5,91.19999999999982,10479,615.375,621.0,731.0,246150,166,0.415
glm-5.3,S5,400,4.976205,3.465,13.25024999999998,1990.482,585.9575,593.5,681.1499999999999,234383,27.175,22.0,85.04999999999995,10870,23.9725,19.0,82.0,9589,613.1325,620.0,717.0,245253,163,0.4075
glm-5.3,S6,400,5.218505,3.7245,15.110249999999985,2087.402,585.9575,593.5,681.1499999999999,234383,22.4725,14.0,78.04999999999995,8989,19.29,10.0,74.09999999999991,7716,608.43,614.0,713.05,243372,192,0.48
gpt-5.6,S1,400,2.1706,1.89,3.8877499999999987,868.24,704.1075,714.0,822.05,281643,46.805,34.0,143.14999999999986,18722,38.4775,23.0,133.0999999999999,15391,750.9125,754.0,912.0,300365,163,0.4075
gpt-5.6,S2,400,1.4601925,1.3155000000000001,2.0702499999999997,584.077,686.1075,696.0,804.05,274443,5.0,5.0,5.0,2000,0.0,0.0,0.0,0,691.1075,701.0,809.05,276443,400,1.0
gpt-5.6,S3,400,1.438585,1.3319999999999999,2.09155,575.434,704.1075,714.0,822.05,281643,5.0,5.0,5.0,2000,0.0,0.0,0.0,0,709.1075,719.0,827.05,283643,400,1.0
gpt-5.6,S4,400,2.8311999999999995,2.479,5.101299999999998,1132.4799999999998,704.1075,714.0,822.05,281643,76.6375,62.5,188.4499999999996,30655,66.1925,51.5,177.4499999999996,26477,780.745,782.5,925.05,312298,37,0.0925
gpt-5.6,S5,400,2.6663025000000005,2.301,4.660149999999991,1066.5210000000002,704.1075,714.0,822.05,281643,67.835,51.0,168.24999999999977,27134,57.39,40.0,157.24999999999977,22956,771.9425,774.0,935.1999999999998,308777,37,0.0925
gpt-5.6,S6,400,2.4749575,2.178,4.45035,989.983,704.1075,714.0,822.05,281643,57.975,45.0,150.0,23190,47.815,34.0,139.0,19126,762.0825,766.0,905.05,304833,56,0.14
qwen3.8-max,S1,400,10.2899425,8.718499999999999,18.844799999999974,4115.977,638.3675,646.0,734.0,255347,428.0275,355.0,838.1999999999998,171211,424.2675,351.0,834.1999999999998,169707,1066.395,1018.5,1505.1499999999999,426558,0,0.0
qwen3.8-max,S2,400,10.622649999999998,9.0365,20.17325,4249.0599999999995,620.3675,628.0,716.0,248147,444.86,372.5,860.0999999999999,177944,441.11,369.0,856.0999999999999,176444,1065.2275,1019.0,1509.05,426091,0,0.0
qwen3.8-max,S3,400,11.19254,9.548,20.6318,4477.016,638.3675,646.0,734.0,255347,463.6975,391.5,870.05,185479,459.9475,387.5,866.05,183979,1102.065,1046.0,1556.8499999999992,440826,0,0.0
qwen3.8-max,S4,400,11.8272175,9.7175,23.75285,4730.887,638.3675,646.0,734.0,255347,476.0675,380.5,985.05,190427,472.2875,377.5,981.05,188915,1114.435,1034.0,1679.7499999999993,445774,0,0.0
qwen3.8-max,S5,400,11.333515,9.693000000000001,21.559349999999995,4533.406,638.3675,646.0,734.0,255347,446.3975,379.5,862.3999999999996,178559,442.6625,376.5,858.4499999999996,177065,1084.765,1026.0,1512.1999999999998,433906,0,0.0
qwen3.8-max,S6,400,11.1251925,9.4945,21.398549999999993,4450.077,638.3675,646.0,734.0,255347,434.38,363.5,862.5499999999986,173752,430.62,359.5,858.5999999999985,172248,1072.7475,1015.0,1537.1999999999998,429099,0,0.0
