case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
1,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.527,685,278,274,963,1,
1,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.37,667,375,371,1042,1,
1,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,9.978,685,373,369,1058,1,
2,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,22.438,718,895,891,1613,1,
2,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,21.023,700,975,972,1675,1,
2,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,17.533,718,870,866,1588,1,
3,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.699,573,260,257,833,1,
3,qwen3.8-max,S2,C,A,False,qwen3.8-max,qwen3.8-max,A,8.696,555,273,269,828,1,
3,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,12.494,573,477,473,1050,1,
4,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,9.721,671,279,275,950,1,
4,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.191,653,333,329,986,1,
4,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,7.661,671,281,277,952,1,
5,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,15.309,653,570,566,1223,1,
5,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,11.575,635,619,615,1254,1,
5,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,15.185,653,796,793,1449,1,
6,qwen3.8-max,S1,A,C,False,qwen3.8-max,qwen3.8-max,C,14.311,697,532,528,1229,1,
6,qwen3.8-max,S2,A,C,False,qwen3.8-max,qwen3.8-max,C,15.368,679,680,676,1359,1,
6,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,8.255,697,387,383,1084,1,
7,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,7.667,654,196,192,850,1,
