case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
1,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.848,693,264,260,957,1,
1,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.37,667,375,371,1042,1,
1,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,9.978,685,373,369,1058,1,
2,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,14.746,725,674,670,1399,1,
2,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,21.023,700,975,972,1675,1,
2,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,17.533,718,870,866,1588,1,
3,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.356,583,176,172,759,1,
3,qwen3.8-max,S2,C,A,False,qwen3.8-max,qwen3.8-max,A,8.696,555,273,269,828,1,
3,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,12.494,573,477,473,1050,1,
4,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,5.766,675,267,264,942,1,
4,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.191,653,333,329,986,1,
4,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,7.661,671,281,277,952,1,
5,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,13.587,660,619,615,1279,1,
5,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,11.575,635,619,615,1254,1,
5,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,15.185,653,796,793,1449,1,
6,qwen3.8-max,S1,A,C,False,qwen3.8-max,qwen3.8-max,C,11.615,700,454,450,1154,1,
6,qwen3.8-max,S2,A,C,False,qwen3.8-max,qwen3.8-max,C,15.368,679,680,676,1359,1,
6,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,8.255,697,387,383,1084,1,
7,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,4.753,653,180,176,833,1,
7,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,4.51,636,197,193,833,1,
7,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,6.22,654,234,230,888,1,
8,qwen3.8-max,S1,C,B,False,qwen3.8-max,qwen3.8-max,B,23.297,511,1073,1069,1584,1,
8,qwen3.8-max,S2,C,A,False,qwen3.8-max,qwen3.8-max,A,22.229,489,1020,1017,1509,1,
8,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,8.861,507,406,403,913,1,
9,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,5.419,721,224,220,945,1,
9,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.939,693,293,290,986,1,
9,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,5.89,711,254,250,965,1,
10,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,11.114,724,535,531,1259,1,
10,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,17.262,701,851,847,1552,1,
10,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,11.622,719,532,528,1251,1,
11,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,8.23,650,388,384,1038,1,
11,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,9.459,615,478,475,1093,1,
11,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,10.815,633,545,541,1178,1,
12,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,4.753,640,231,227,871,1,
12,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.862,617,488,484,1105,1,
12,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,10.217,635,403,399,1038,1,
13,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,9.668,581,408,404,989,1,
13,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,7.956,557,311,307,868,1,
13,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,3.885,575,176,173,751,1,
14,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.104,648,341,337,989,1,
14,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.638,628,450,447,1078,1,
